"Epoch","Stage"
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,0
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,2
21,2
22,2
23,2
24,2
25,2
26,2
27,2
28,2
29,2
30,2
31,3
32,2
33,2
34,3
35,2
36,3
37,2
38,0
39,2
40,2
41,2
42,2
43,3
44,2
45,3
46,3
47,3
48,3
49,3
50,3
51,2
52,3
53,3
54,3
55,3
56,3
57,3
58,2
59,3
60,2
61,3
62,2
63,3
64,2
65,2
66,2
67,2
68,2
69,2
70,2
71,2
72,2
73,2
74,2
75,2
76,5
77,2
78,5
79,5
80,5
81,5
82,5
83,5
84,5
85,5
86,5
87,5
88,5
89,5
90,5
91,5
92,5
93,5
94,5
95,5
96,5
97,5
98,5
99,5
100,5
101,5
102,5
103,5
104,5
105,5
106,5
107,5
108,5
109,5
110,5
111,5
112,5
113,5
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,1
135,2
136,0
137,2
138,0
139,2
140,2
141,2
142,2
143,2
144,2
145,2
146,2
147,2
148,2
149,2
150,2
151,2
152,2
153,2
154,2
155,2
156,0
157,2
158,2
159,2
160,2
161,2
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,2
180,2
181,2
182,2
183,2
184,2
185,2
186,2
187,2
188,2
189,2
190,2
191,2
192,2
193,2
194,3
195,2
196,2
197,2
198,2
199,2
200,2
201,2
202,2
203,3
204,3
205,2
206,3
207,2
208,2
209,2
210,3
211,3
212,2
213,2
214,2
215,2
216,3
217,3
218,2
219,3
220,3
221,2
222,3
223,3
224,2
225,2
226,2
227,2
228,2
229,2
230,3
231,2
232,3
233,3
234,3
235,3
236,3
237,3
238,3
239,2
240,2
241,3
242,2
243,3
244,3
245,3
246,3
247,3
248,3
249,3
250,2
251,2
252,3
253,3
254,2
255,2
256,2
257,3
258,2
259,3
260,3
261,2
262,2
263,3
264,2
265,2
266,3
267,2
