Epoch,
1,W
2,W
3,W
4,W
5,W
6,W
7,W
8,W
9,W
10,W
11,W
12,W
13,W
14,W
15,W
16,W
17,W
18,W
19,W
20,W
21,W
22,W
23,W
24,W
25,W
26,W
27,W
28,W
29,W
30,W
31,W
32,W
33,W
34,W
35,W
36,W
37,W
38,W
39,W
40,W
41,W
42,W
43,W
44,W
45,W
46,W
47,W
48,W
49,W
50,W
51,W
52,W
53,W
54,W
55,W
56,W
57,W
58,W
59,W
60,W
61,W
62,W
63,W
64,W
65,W
66,W
67,W
68,W
69,W
70,W
71,W
72,W
73,W
74,W
75,W
76,W
77,W
78,W
79,W
80,W
81,W
82,W
83,N
84,N
85,N
86,N
87,N
88,N
89,N
90,N
91,N
92,N
93,N
94,N
95,N
96,N
97,N
98,N
99,N
100,N
101,N
102,N
103,N
104,N
105,N
106,N
107,N
108,N
109,N
110,N
111,N
112,N
113,N
114,N
115,N
116,N
117,N
118,N
119,N
120,N
121,N
122,N
123,N
124,N
125,W
126,N
127,N
128,N
129,N
130,N
131,N
132,N
133,N
134,N
135,N
136,N
137,N
138,N
139,N
140,N
141,N
142,N
143,N
144,N
145,N
146,N
147,N
148,N
149,N
150,N
151,N
152,N
153,N
154,N
155,N
156,N
157,N
158,N
159,N
160,N
161,N
162,N
163,N
164,N
165,N
166,N
167,N
168,N
169,N
170,N
171,N
172,N
173,R
174,R
175,R
176,R
177,R
178,R
179,R
180,R
181,R
182,R
183,R
184,W
185,W
186,W
187,W
188,W
189,W
190,W
191,W
192,W
193,W
194,W
195,N
196,N
197,N
198,N
199,N
200,W
201,W
202,W
203,W
204,W
205,W
206,W
207,W
208,W
209,W
210,W
211,N
212,N
213,N
214,N
215,N
216,N
217,N
218,N
219,N
220,N
221,N
222,N
223,N
224,N
225,N
226,N
227,N
228,N
229,N
230,N
231,N
232,N
233,N
234,N
235,N
236,N
237,N
238,N
239,N
240,N
241,N
242,N
243,N
244,N
245,N
246,N
247,N
248,N
249,N
250,N
251,N
252,N
253,N
254,N
255,N
256,N
257,N
258,N
259,N
260,N
261,N
262,N
263,N
264,N
265,N
266,N
267,N
268,N
269,N
270,N
271,N
272,N
273,N
274,N
275,N
276,N
277,N
278,N
279,N
280,N
281,N
282,N
283,N
284,N
285,R
286,R
287,R
288,R
289,R
290,R
291,R
292,R
293,R
294,R
295,R
296,R
297,R
298,R
299,R
300,R
301,R
302,R
303,R
304,R
305,R
306,R
307,R
308,R
309,R
310,R
311,R
312,W
313,W
314,W
315,W
316,W
317,W
318,W
319,W
320,W
321,W
322,N
323,N
324,N
325,N
326,N
327,N
328,N
329,N
330,N
331,N
332,N
333,N
334,N
335,N
336,N
337,N
338,N
339,W
340,N
341,N
342,N
343,N
344,N
345,N
346,N
347,N
348,W
349,N
350,N
351,N
352,N
353,N
354,N
355,N
356,N
357,N
358,N
359,N
360,N
361,N
362,N
363,N
364,N
365,N
366,N
367,N
368,N
369,N
370,N
371,N
372,N
373,N
374,N
375,N
376,N
377,N
378,N
379,N
380,N
381,N
382,N
383,N
384,N
385,N
386,N
387,N
388,N
389,N
390,N
391,N
392,N
393,N
